STATE,NAME,District,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,EMP_change,MSW_change,BF_change,MSL_change,FC_change,CHH_change,F_EMP_change,Asset_2001,Asset_2011,Asset_Change
10,Siwan,218,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2
10,Saran,219,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,3,1,1,2
10,Vaishali,220,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,3,1,1,2
10,Samastipur,221,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,3,1,1,2
10,Begusarai,222,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,3,1,1,2
10,Khagaria,223,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2
10,Bhagalpur,224,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2
10,Banka,225,1,2,2,1,1,1,1,1,2,2,1,1,2,2,1,3,2,2,2,2,2,1,1,2
10,Munger,226,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,3,2,2,2,2,3,1,1,2
10,Lakhisarai,227,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2
10,Sheikhpura,228,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2
10,Nalanda,229,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2
10,Patna,230,1,1,2,2,3,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,3,1,2,3
10,Bhojpur,231,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,3,1,1,2
10,Buxar,232,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,3,1,1,2
10,Kaimur (Bhabua),233,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2
10,Rohtas,234,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,3,1,2,3
10,Aurangabad,235,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2
10,Gaya,236,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2
10,Nawada,237,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2
